id,tweet,date,time,created_at,link,timestamp,excelTime
1.24838E+18,•NYPD officers visited 3076 personal care facilities of which 3076 were closed.    *There were no arrests or summonses issued in regard to these visits.,4/9/2020,18:24:09,1.58647E+12,https://twitter.com/NYPDnews/status/1248376181335789570,2020-04-09T18:24:09,4/9/2020 18:24
1.24838E+18,•NYPD officers visited 2358 supermarkets of which 1262 were closed.  •NYPD officers visited 6654 bars and restaurants of which 5378 were closed.   •NYPD officers visited 1143 public places of which 747 were closed.,4/9/2020,18:24:09,1.58647E+12,https://twitter.com/NYPDnews/status/1248376180098469898,2020-04-09T18:24:09,4/9/2020 18:24
1.24838E+18,"Officers continue to visit restaurants, bars, supermarkets, salons and public spaces to remind individuals of the ban on congregating in public spaces and to practice social distancing: Between 8:00 AM, Wednesday, April 8, 2020 and 8:00 AM, Thursday, April 9, 2020: pic.twitter.com/Vu6v4GB2cC",4/9/2020,18:24:09,1.58647E+12,https://twitter.com/NYPDnews/status/1248376178529849345,2020-04-09T18:24:09,4/9/2020 18:24
1.24875E+18,"Officers continue to visit restaurants, bars, supermarkets, salons and public spaces to remind individuals of the ban on congregating in public spaces and to practice social distancing:  Between 8:00 AM, Thursday, April 9, 2020 and 8:00 AM, Friday, April 10, 2020 pic.twitter.com/rPyK5PMqHg",4/10/2020,18:52:41,1.58656E+12,https://twitter.com/NYPDnews/status/1248745745974464514,2020-04-10T18:52:41,4/10/2020 18:52
1.24875E+18,· NYPD officers visited 2903 personal care facilities of which 2903 were closed.  *There were no arrests or summonses issued in regard to these visits.,4/10/2020,18:52:42,1.58656E+12,https://twitter.com/NYPDnews/status/1248745751741636609,2020-04-10T18:52:42,4/10/2020 18:52
1.24875E+18,· NYPD officers visited 2178 supermarkets of which 957 were closed. · NYPD officers visited 6907 bars and restaurants of which 5537 were closed.  · NYPD officers visited 1119 public places of which 753 were closed.,4/10/2020,18:52:42,1.58656E+12,https://twitter.com/NYPDnews/status/1248745750521155592,2020-04-10T18:52:42,4/10/2020 18:52
1.24915E+18,"Officers continue to visit restaurants, bars, supermarkets, salons and public spaces to remind individuals of the ban on congregating in public spaces and to practice social distancing:  Between 8:00 AM, Friday, April 10, 2020 and 8:00 AM, Saturday, April 11, 2020 pic.twitter.com/JWTsM9A9NQ",4/11/2020,21:33:33,1.58666E+12,https://twitter.com/NYPDnews/status/1249148620349333508,2020-04-11T21:33:33,4/11/2020 21:33
1.24915E+18,· NYPD officers visited 3102 personal care facilities of which 3102 were closed. *There were no arrests or summonses issued in regard to these visits.,4/11/2020,21:33:35,1.58666E+12,https://twitter.com/NYPDnews/status/1249148628259782656,2020-04-11T21:33:35,4/11/2020 21:33
1.24915E+18,· NYPD officers visited 2404 supermarkets of which 1227 were closed. · NYPD officers visited 6836 bars and restaurants of which 5499 were closed. · NYPD officers visited 1186 public places of which 883 were closed.,4/11/2020,21:33:35,1.58666E+12,https://twitter.com/NYPDnews/status/1249148626087153665,2020-04-11T21:33:35,4/11/2020 21:33
1.24946E+18,•NYPD officers visited 3015 personal care facilities of which 3015 were closed.  *There were no arrests or summonses issued in regard to these visits.,4/12/2020,18:01:19,1.58673E+12,https://twitter.com/NYPDnews/status/1249457598295945219,2020-04-12T18:01:19,4/12/2020 18:01
1.24946E+18,"•NYPD officers visited 2613 supermarkets of which 1313 were closed. •NYPD officers visited 7,056 bars and restaurants of which 5,532 were closed. •NYPD officers visited 1273 public places of which 841 were closed.",4/12/2020,18:01:19,1.58673E+12,https://twitter.com/NYPDnews/status/1249457597394059266,2020-04-12T18:01:19,4/12/2020 18:01
1.24946E+18,"Officers continue to visit restaurants, bars, supermarkets, salons and public spaces to remind individuals of the ban on congregating in public spaces and to practice social distancing:  Between 8:00 AM, Saturday, April 11, 2020 and 8:00 AM, Sunday, April 12, 2020: pic.twitter.com/qRFFzdInfn",4/12/2020,18:01:19,1.58673E+12,https://twitter.com/NYPDnews/status/1249457595900968961,2020-04-12T18:01:19,4/12/2020 18:01
1.24981E+18,"COVID-19 by the numbers: Social distancing visits to date:   Officers have visited a total of 303,330 locations as part of the department’s efforts to help flatten the curve through promoting social distancing. pic.twitter.com/ons4yKjaUS",4/13/2020,17:08:15,1.58681E+12,https://twitter.com/NYPDnews/status/1249806627865333760,2020-04-13T17:08:15,4/13/2020 17:08
1.24981E+18,"• NYPD officers made visits to 26,589 public places of which 15,580 were closed. • NYPD officers made visits to 69,132 personal care facilities of which 68,075 were closed.",4/13/2020,17:25:29,1.58681E+12,https://twitter.com/NYPDnews/status/1249810966776348672,2020-04-13T17:25:29,4/13/2020 17:25
1.24981E+18,"Between 8:00 AM, Monday, March 23, 2020 and 3:00 PM, Monday, April 13, 2020: • NYPD officers made visits to 54,101 supermarkets and pharmacies of which 27,648 were closed. • NYPD officers made visits to 153,481 bars and restaurants of which 119,581 were closed.",4/13/2020,17:25:29,1.58681E+12,https://twitter.com/NYPDnews/status/1249810965937430528,2020-04-13T17:25:29,4/13/2020 17:25
1.24982E+18,•NYPD officers visited 3201 personal care facilities of which 3201 were closed.,4/13/2020,18:09:59,1.58682E+12,https://twitter.com/NYPDnews/status/1249822166725677056,2020-04-13T18:09:59,4/13/2020 18:09
1.24982E+18,•NYPD officers visited 2463 supermarkets and pharmacies of which 1346 were closed.  •NYPD officers visited 6954 bars and restaurants of which 5585 were closed.   •NYPD officers visited 1196 public places of which 749 were closed.,4/13/2020,18:09:59,1.58682E+12,https://twitter.com/NYPDnews/status/1249822165840605189,2020-04-13T18:09:59,4/13/2020 18:09
1.24982E+18,"Officers continue to visit restaurants, bars, supermarkets, salons and public spaces to remind individuals of the ban on congregating in public spaces and to practice social distancing:  Between 8:00 AM, Sunday, April 12, 2020 and 8:00 AM, Monday, April 13, 2020: pic.twitter.com/l8HfK8u20b",4/13/2020,18:09:59,1.58682E+12,https://twitter.com/NYPDnews/status/1249822164666195969,2020-04-13T18:09:59,4/13/2020 18:09
1.24982E+18,*No summonses were issued in regard to these visits. One arrest was made within the confines of the 114th Precinct in regard to an individual operating a motor vehicle inside of a park on pedestrian walkways.,4/13/2020,18:10:00,1.58682E+12,https://twitter.com/NYPDnews/status/1249822167732301827,2020-04-13T18:10:00,4/13/2020 18:10
1.25019E+18,"Officers continue to visit restaurants, bars, supermarkets, salons and public spaces to remind individuals of the ban on congregating in public spaces and to practice social distancing:  Between 8:00 AM, Monday, April 13, 2020 and 8:00 AM, Tuesday, April 14, 2020 pic.twitter.com/bBFSSqCKwJ",4/14/2020,18:29:46,1.5869E+12,https://twitter.com/NYPDnews/status/1250189533875929088,2020-04-14T18:29:46,4/14/2020 18:29
1.25019E+18,•NYPD officers visited 3154 personal care facilities of which 3135 were closed.    *There were no arrests or summonses issued in regard to these visits.,4/14/2020,18:29:47,1.5869E+12,https://twitter.com/NYPDnews/status/1250189535650156546,2020-04-14T18:29:47,4/14/2020 18:29
1.25019E+18,•NYPD officers visited 2202 supermarkets and pharmacies of which 1381 were closed.  •NYPD officers visited 6724 bars and restaurants of which 5469  were closed.   •NYPD officers visited 1123 public places of which 698 were closed.,4/14/2020,18:29:47,1.5869E+12,https://twitter.com/NYPDnews/status/1250189534907838466,2020-04-14T18:29:47,4/14/2020 18:29
